"alert.close.button": "Close"
"talent.track.task.progress.dialog.progress": "Your progress:"
"talent.track.task.progress.dialog.thanks": "Thanks, I got this!"
"talent.track.task.progress.dialog.title": "Your next target"
"widget.avatar.change_name": "Change your name"
"widget.avatar.decorate": "Decorate Room"
"widget.avatar.stop_decorating": "Stop Decorating"
"widget.background.info": "Choose the color for your room background"
"widget.backgroundcolor.button.apply": "Apply"
"widget.backgroundcolor.button.on": "On/ Off"
"widget.backgroundcolor.hue": "Hue"
"widget.backgroundcolor.info": "Choose the color for your room background"
"widget.backgroundcolor.lightness": "Lightness"
"widget.backgroundcolor.saturation": "Saturation"
"widget.backgroundcolor.title": "Background Toner"
"widget.backgroundcolour.title": "Background Toner"
"widget.camera.full.body": "To shoot more, you will need to make room in your camera by deleting or purchasing some of your old photos!"
"widget.chatbubble.handitem": "%username% gave you: %handitem%"
"widget.chatbubble.mute": "You ignored %USERNAME%."
"widget.chatbubble.mutetime": "You are muted! The mute will expire in %hours% hours, %minutes% minutes and %seconds% seconds."
"widget.chatbubble.petrespect": "%petname% was scratched!"
"widget.chatbubble.pettreat": "%petname% was treated!"
"widget.chooser.furni.title": "Furni"
"widget.chooser.user.title": "Chooser"
"widget.custom.stack.height.text": "Adjust the height of stacking helper as you want, then move the other furni on top of it."
"widget.custom.stack.height.title": "Stacking Helper"
"widget.dimmer.button.apply": "Apply to room"
"widget.dimmer.button.off": "Turn off"
"widget.dimmer.button.on": "Turn on"
"widget.dimmer.info.off": "Room dimmer is currently turned off. Turn it on to adjust the lighting of your room."
"widget.dimmer.info": "Room dimmer effect is previewed in your room. Apply the effect to the room to make other users see it too."
"widget.dimmer.tab.1": "Preset 1"
"widget.dimmer.tab.2": "Preset 2"
"widget.dimmer.tab.3": "Preset 3"
"widget.dimmer.title": "Room dimmer Controller"
"widget.dimmer.type.checkbox": "Background only"
"widget.friendrequest.accept": "Accept"
"widget.friendrequest.decline": "Decline"
"widget.friendrequest.from": "Friend request from %username%"
"widget.furni.clothingchange.editor.title": "Furniture clothes editor"
"widget.furni.clothingchange.gender.female": "Girl"
"widget.furni.clothingchange.gender.info": "Select which gender's clothes you want to edit."
"widget.furni.clothingchange.gender.male": "Boy"
"widget.furni.clothingchange.gender.title": "Select edited gender"
"widget.furni.ecotronbox.open": "Open"
"widget.furni.ecotronbox.title": "Furni-Matic Box"
"widget.furni.furnimaticbox.open": "Open the box"
"widget.furni.furnimaticbox.title": "Furni-Matic box"
"widget.furni.info.url": "https://habbohelpen.zendesk.com/entries/272634-What-are-Habbo-Credits-"
"widget.furni.present.close": "Close"
"widget.furni.present.give_gift": "Send a return gift to %name%"
"widget.furni.present.hc": "You got a subscription to Habbo Club!"
"widget.furni.present.instructions": "This Item can now be found under \"
"widget.furni.present.keep_in_room": "Keep in my room"
"widget.furni.present.message_from": "- %name%"
"widget.furni.present.message_opened": "You open the gift and find a %product%!"
"widget.furni.present.open": "Open the gift"
"widget.furni.present.open_gift": "Open this gift"
"widget.furni.present.place_in_room": "Place in my room"
"widget.furni.present.put_in_inventory": "Put it in my inventory"
"widget.furni.present.sender.profile_tooltip": "View profile"
"widget.furni.present.spaces.message_opened": "You open the gift and find a %product%! You can find it under \"
"widget.furni.present.title": "Special gift!"
"widget.furni.present.window.title": "Special Gift"
"widget.furni.present.window.title_from": "Gift from %name%"
"widget.furni.teaser.congrats": "Congratulations!"
"widget.furni.teaser.description": "You've found a strange package made of leaves. There are fait ribbit sounds coming from inside. Place the package in your room to open in (check the My Stuff menu to find the package)."
"widget.furni.teaser.get": "OK"
"widget.furni.teaser.gift.campaign_closed.desc": "You need to log in using Facebook in order to get friends open the package."
"widget.furni.teaser.gift.campaign_closed.title": "Oops, there's a problem"
"widget.furni.teaser.gift.get": "Open"
"widget.furni.teaser.gift.locked.desc": "The leaves on the package are too thick, you need a friend to help open the package."
"widget.furni.teaser.gift.locked.share": "Ask for help"
"widget.furni.teaser.gift.locked.skip": "Skip"
"widget.furni.teaser.gift.locked.title": "Uh oh, the gift package is closed!"
"widget.furni.teaser.gift.no_fb.desc": "You need to log in using Facebook in order to get friends to open the package."
"widget.furni.teaser.gift.no_fb.title": "Oops, there's a problem"
"widget.furni.teaser.gift.received.desc": "Your friend's package was opened! Thank you!"
"widget.furni.teaser.gift.received.title": "Friend helped!"
"widget.furni.teaser.gift.title": "Strange package found"
"widget.furni.teaser.gift.unlocked.desc": "Yay, your package was unlocked by %username%! Check your item inventory after opening your package."
"widget.furni.teaser.gift.unlocked.title": "Package unlocked!"
"widget.furni.teaser.notify.unlocked.desc": "The leaf package in your room was unlocked by %username%! Go to your room and check what's inside."
"widget.furni.teaser.notify.unlocked.title": "Package unlocked!"
"widget.furni.teaser.title": "Mystery package found!"
"widget.furni.trophy.title": "Trophy"
"widget.furni.video_viewer.no_videos": "Waiting..."
"widget.furni.video_viewer.playlists": "Available playlists:"
"widget.furni.video_viewer.tooltip.next": "Next video"
"widget.furni.video_viewer.tooltip.prev": "Previous video"
"widget.furniture.button.go.to.group.home.room": "Go To Homeroom"
"widget.furniture.button.join.group": "Join"
"widget.furniture.button.open_group_forum": "Open Group Forum"
"widget.generic_usable.button.use": "Use"
"widget.memenu.achievements": "Achievements"
"widget.memenu.activeeffects": "Activate and use effects"
"widget.memenu.back": "Back"
"widget.memenu.badges": "My badges"
"widget.memenu.blow": "Blow Kiss"
"widget.memenu.chat.settings.title": "Chat settings"
"widget.memenu.clothes.add": "Save outfits in the clothes editor and they'll appear here"
"widget.memenu.clothes.info": "Join HC to quickly choose saved outfits in this menu!"
"widget.memenu.credits": "%credits% Credits"
"widget.memenu.dance.clubinfo": "Join HC to get more dance moves!"
"widget.memenu.dance.stop": "Stop Dancing"
"widget.memenu.dance1": "Dance"
"widget.memenu.dance2": "Pogo Mogo"
"widget.memenu.dance3": "Duck Funk"
"widget.memenu.dance4": "The Rollie"
"widget.memenu.dance": "Dance"
"widget.memenu.editavatar": "Clothes"
"widget.memenu.effects.info": "You don't have any active effects.Activate some or get more."
"widget.memenu.effects": "My effects"
"widget.memenu.forums": "Forums"
"widget.memenu.guide": "Helper Tool"
"widget.memenu.hc.join": "Join HC!"
"widget.memenu.hc.long": "HC %days%d %months%m"
"widget.memenu.hc": "HC %days%d"
"widget.memenu.idle": "Idle"
"widget.memenu.jump": "Jump"
"widget.memenu.laugh": "Laugh"
"widget.memenu.minimail": "Minimail"
"widget.memenu.myclothes": "Change Looks"
"widget.memenu.myrooms": "My Rooms"
"widget.memenu.news": "News"
"widget.memenu.no_club": "This action requires Habbo Club!"
"widget.memenu.other.settings.title": "Other settings"
"widget.memenu.profile": "My Profile"
"widget.memenu.settings.audio": "Audio settings"
"widget.memenu.settings.character": "Character settings"
"widget.memenu.settings.chat": "Chat settings"
"widget.memenu.settings.no_identity": "Character settings will be available, when you use your email to log in."
"widget.memenu.settings.other": "Other settings"
"widget.memenu.settings.title": "Modify your settings"
"widget.memenu.settings.volume.furni": "Furni"
"widget.memenu.settings.volume.trax": "Trax"
"widget.memenu.settings.volume.ui": "System"
"widget.memenu.settings.volume": "Adjust the sound volume"
"widget.memenu.settings": "Settings"
"widget.memenu.sign": "Sign"
"widget.memenu.sit": "Sit"
"widget.memenu.stand": "Stand"
"widget.memenu.talents": "Talents"
"widget.memenu.thumb": "Thumbs up"
"widget.memenu.vip.long": "HC %days%d %months%m"
"widget.memenu.vip": "HC %days%d"
"widget.memenu.wave": "Wave"
"widget.monsterplant_seed.button.use": "Plant"
"widget.poll.title": "Poll"
"widget.random_teleport.button.use": "Start exploring!"
